cep,longitude,latitude
82821020,-49.2160678044742,-25.4233146347775
81350686,-49.3400481020638,-25.4936598469491
82530380,-49.2336060009616,-25.4300625729625
82930390,-49.2047594214569,-25.4608672106041
81320083,-49.3183277499707,-25.4770955000105
81020150,-49.2875810685635,-25.4852090685074
81250720,-49.3385838295334,-25.4815524899573
81900560,-49.2709988129397,-25.5386532636233
80530040,-49.2723748799989,-25.4219925091123
81530380,-49.2300931009572,-25.4625848305665
81490010,-49.3537353191769,-25.6154928550559
81900670,-49.2827186530876,-25.5457748986399
82930370,-49.2053096781914,-25.4627990031427
81830020,-49.2675350633395,-25.5125646322447
81050610,-49.3106146746474,-25.4838938211145
81350320,-49.3318588311607,-25.4992029361912
81030100,-49.2706444334036,-25.4832995440473
82025101,-49.3131316666906,-25.4089804447922
82310354,-49.3504773749079,-25.4289407812710
81170370,-49.3258065209142,-25.5144656687780
81510160,-49.2447744337813,-25.4561970876697
81260160,-49.3487030000000,-25.4882090000000
82840120,-49.2167226661471,-25.4055829533743
81910230,-49.2672872891657,-25.5278877309024
82640400,-49.2387994310608,-25.3780721034646
81470255,-49.3374921110026,-25.5696304444580
82130580,-49.2806546453490,-25.3655056873644
81130330,-49.3062616741933,-25.5102533750322
80045160,-49.2577479501360,-25.4227240373025
82100270,-49.2883068119821,-25.4014680627492
80060170,-49.2593020468696,-25.4278721677395
81110070,-49.2938690633352,-25.5038132404982
81320290,-49.3107362306741,-25.4748252660661
82415070,-49.3367376666649,-25.3666350000001
82515190,-49.2294960000000,-25.3992380000000
82650470,-49.2428589272921,-25.3694403145923
81452040,-49.3545044201704,-25.4998370213564
81570240,-49.2271006252739,-25.4811182084669
82015100,-49.3254408265132,-25.4177303741766
81650170,-49.2251870078443,-25.4968831947737
80620340,-49.2732563508827,-25.4540745011999
82860360,-49.1953359321141,-25.3827108510463
81030380,-49.2772121864255,-25.4878438322257
81110190,-49.2879505576038,-25.4985135816744
82315100,-49.3562615743809,-25.4138947234128
81920735,-49.2615212690534,-25.5391678846873
81030180,-49.2647633349843,-25.4763519008138
81825210,-49.2736153558222,-25.5262738689431
80035230,-49.2512257402299,-25.4008064386385
81110330,-49.2847716627966,-25.5042910428287
80710600,-49.3006978054742,-25.4224698510365
81810492,-49.2718504999625,-25.5044000000137
81910570,-49.2586402382427,-25.5339269047986
81710380,-49.2594143510465,-25.4967925893433
80730450,-49.2924205417543,-25.4295930000255
82960472,-49.2120582999760,-25.4657194667099
82130162,-49.2691345002354,-25.3808898753791
81770160,-49.2445468837630,-25.5296962833892
81260470,-49.3499858333103,-25.4878793333939
82650320,-49.2469140011033,-25.3737566254647
81580020,-49.2241676667996,-25.4882127778241
82990000,-49.1981216372530,-25.4637044472508
81480160,-49.3151440012031,-25.5588432106598
81240490,-49.3358291909315,-25.4789005295822
82990150,-49.1940915354714,-25.4599432722975
81250190,-49.3477187290333,-25.4787356976141
81945040,-49.3138372232201,-25.6022235414387
81750200,-49.2437933748240,-25.5157135001734
81935303,-49.2658406002244,-25.5548054287395
81460239,-49.3365793791746,-25.5325141725804
81850712,-49.2571259563704,-25.5293962610013
81240110,-49.3455733886983,-25.4758162194925
82600070,-49.2112438117616,-25.3907411036522
81560570,-49.2107486004445,-25.4943561601417
81170065,-49.3200841245732,-25.5110533750523
81925567,-49.2689271518567,-25.5516863820233
81590220,-49.1983598981544,-25.4821304044981
82030020,-49.3162606368294,-25.3946174297227
82010390,-49.3275682857714,-25.4282395714462
80040150,-49.2505313635874,-25.4191917272920
81930367,-49.2710241313602,-25.5617914350131
82700540,-49.2570179996848,-25.3703488003616
81220170,-49.3221956960987,-25.4569440522711
81580050,-49.2280410436750,-25.4911705040405
82980520,-49.1880231206476,-25.4702554549873
82410510,-49.3291631561723,-25.3732418954991
80810200,-49.2882065017470,-25.4117516070720
80045270,-49.2498379452408,-25.4269458358083
82510100,-49.2385843936000,-25.4090507493920
80730270,-49.3020722939492,-25.4395442941516
81210070,-49.3268133751402,-25.4427148131246
82810080,-49.2139927191960,-25.4396831550178
81170662,-49.3183728182903,-25.5172792272985
82640710,-49.2360147500568,-25.3761139167061
80710040,-49.3044615715174,-25.4214634286453
82310380,-49.3574755107166,-25.4271679351543
82130282,-49.2743298330015,-25.3808727224324
80240660,-49.2916382221557,-25.4542530556284
81280190,-49.3594793608748,-25.4369027676958
82600640,-49.2162511520761,-25.3981885762214
82100620,-49.3027649999663,-25.3924350555573
81310370,-49.3186624209516,-25.5005119473929
81480050,-49.3123860165859,-25.5639557671639
81520300,-49.2422078636873,-25.4623570695212
82015720,-49.3341400767781,-25.4187128462549
81230392,-49.3406575731020,-25.4603003707953
81460210,-49.3335573678969,-25.5323146848334
81260412,-49.3545312407406,-25.4811505865638
81200030,-49.3305021428569,-25.4339218572309
82200200,-49.2691160623079,-25.3904101875436
80030010,-49.2668660000000,-25.4241640000000
81480125,-49.3118706658535,-25.5614706374337
80220380,-49.2552576680305,-25.4622493336364
81510570,-49.2425206557450,-25.4741691564102
82860400,-49.1978955789077,-25.3861406843164
81480141,-49.3231896667236,-25.5562061667039
81200160,-49.3213627999599,-25.4320014000022
81920230,-49.2654606035168,-25.5401588467020
81820330,-49.2724628977617,-25.5169970179923
81470256,-49.3378721818610,-25.5694165910180
81935113,-49.2536109231130,-25.5499175384761
81452334,-49.3539056000423,-25.5061884000766
80210400,-49.2468984999865,-25.4463780000737
80820500,-49.3021048645381,-25.4107702686398
81510390,-49.2421165124832,-25.4685143295265
81880240,-49.2975794776044,-25.5404745077498
81590210,-49.1986112505030,-25.4814447782289
81920500,-49.2544219342922,-25.5428123134011
81450520,-49.3442928001987,-25.4951670667098
82310433,-49.3724830000000,-25.4310700000000
82560040,-49.2480647046834,-25.3850699223680
82530060,-49.2359359145395,-25.4253948809570
82200216,-49.2703392500040,-25.3890870000006
82980600,-49.1916779820241,-25.4666337593647
81570001,-49.2238324147895,-25.4825630317905
81250482,-49.3378683447999,-25.4865966553425
80060040,-49.2632808306720,-25.4318069334388
80540290,-49.2667691092792,-25.4060056184402
81920747,-49.2526856997565,-25.5329949004335
80710350,-49.3086768002282,-25.4333576000608
81010130,-49.2731556915290,-25.4764195588417
81250610,-49.3409114723655,-25.4933426909383
80510090,-49.2805581841836,-25.4219078028813
81170762,-49.3290638947933,-25.5155772105400
81460235,-49.3384583258202,-25.5296041641745
81450340,-49.3486330527676,-25.4902346316319
81020420,-49.2840872729491,-25.4920196819718
81110240,-49.2880626203316,-25.5012202607084
81935474,-49.2453349116310,-25.5506130891455
81450140,-49.3493514288727,-25.4974735953017
81520290,-49.2410266625473,-25.4627057622716
81010160,-49.2756320910121,-25.4761700909245
81230480,-49.3394493683984,-25.4646281053601
81470370,-49.3341110960705,-25.5778784839382
82990198,-49.1987434093442,-25.4560595000466
81280048,-49.3612301111580,-25.4357441112655
81590340,-49.2043714494834,-25.4869452434920
82930428,-49.2033254441496,-25.4555670002028
82220563,-49.2790128333043,-25.3564836666715
80440090,-49.2916224997606,-25.4443285001079
82630494,-49.2197021839363,-25.3769201560983
80010040,-49.2586024190518,-25.4333063479530
81030370,-49.2756635796428,-25.4881800174281
81200400,-49.3437087449233,-25.4338997893551
82600750,-49.2162615000035,-25.3958555000045
81520250,-49.2411990341756,-25.4595564842104
82930000,-49.2076848688181,-25.4522168930604
82020560,-49.3241349981993,-25.4011576607150
81490400,-49.3357867186009,-25.5959260793478
80510360,-49.2858097118247,-25.4193944591681
80050435,-49.2435107491958,-25.4305533081275
82930030,-49.2056962318778,-25.4568138879969
80215650,-49.2490664368478,-25.4484380190541
81590045,-49.1988741650016,-25.4936220026944
82710320,-49.2588717776273,-25.3550854904869
80820650,-49.3068074987427,-25.4121630005226
81610020,-49.2479963707565,-25.4773976954983
82400380,-49.3559660424619,-25.3939611290747
80440020,-49.3007478380270,-25.4428337956861
82821016,-49.2095055001850,-25.4270763750322
81910390,-49.2616586502280,-25.5316857069475
80240550,-49.3034312777902,-25.4533378888945
81170755,-49.3308090343913,-25.5160188418949
81935446,-49.2494041568186,-25.5561318634792
82700410,-49.2513782763024,-25.3740192069561
82650210,-49.2479747365615,-25.3791995264108
81150130,-49.3043711084487,-25.5161805037496
81470175,-49.3334716250438,-25.5671865315820
81150120,-49.3040621642926,-25.5170223068465
81220090,-49.3149024143145,-25.4539760939031
80710390,-49.3055074800751,-25.4342724862800
81490170,-49.3233641230418,-25.5871765229344
81540160,-49.2166009443659,-25.4663186667815
82710082,-49.2518749086381,-25.3647667288143
81490360,-49.3331487620149,-25.5959260714452
82720410,-49.2322632426080,-25.3531644337776
81450195,-49.3532384355102,-25.4997584943394
80050440,-49.2411146661928,-25.4325298004091
81610220,-49.2455067502822,-25.4840165002992
81220100,-49.3256450071633,-25.4557352095908
82630100,-49.2161803524462,-25.3812692780083
80030200,-49.2602838398977,-25.4196624320568
81010170,-49.2757205974116,-25.4783570614136
81670110,-49.2505578410785,-25.4977016024349
80820350,-49.2948596739003,-25.4104868271504
80810070,-49.2912702953003,-25.4171734750828
82015640,-49.3376898347165,-25.4165571631868
81490280,-49.3235433911466,-25.5975675014877
81470290,-49.3412589936849,-25.5737515550149
80610300,-49.2889687454307,-25.4639994008840
81350713,-49.3371662352983,-25.4965572356880
81260350,-49.3499515999385,-25.4831184667002
80220200,-49.2801499774178,-25.4672406908201
82200440,-49.2639951894228,-25.3938755876520
81470346,-49.3352481000100,-25.5796239000291
80730430,-49.2936140000000,-25.4301570000000
81940210,-49.2872240368535,-25.5603014782721
80820520,-49.2963300390619,-25.4127105464884
81670260,-49.2550349720709,-25.5039440665513
82315390,-49.3604395248946,-25.4096763580765
81590577,-49.2002912221858,-25.4923383333506
81050637,-49.3145007999984,-25.4835295000015
82100470,-49.2952852364297,-25.3984034918396
82510514,-49.2401459999717,-25.4130335000161
82320220,-49.3433039997731,-25.4019988462337
81880380,-49.2924784574248,-25.5395481532947
81330620,-49.3345923101625,-25.4883481133979
82650230,-49.2469517894625,-25.3772499488416
81830580,-49.2599985858237,-25.5252728049580
80310110,-49.3131981040754,-25.4618760201347
81315685,-49.3255583333193,-25.5115270000027
81850650,-49.2439315883873,-25.5414905884625
81070000,-49.3031041977101,-25.4763966710448
81450410,-49.3448539613686,-25.4981067710058
80010010,-49.2679877486134,-25.4267759520353
81935382,-49.2516978436888,-25.5594363219748
82220142,-49.2640974005018,-25.3755612295988
80250220,-49.2778677639266,-25.4401651682037
80330120,-49.3106388116797,-25.4711980670357
80010160,-49.2498549128683,-25.3975876007521
80040153,-49.2481648998847,-25.4213319028677
80620370,-49.2746421817496,-25.4578113636589
82520150,-49.2373089094202,-25.4121197273283
81470300,-49.3365443994341,-25.5757761774310
81470089,-49.3290482775162,-25.5687003611858
81590270,-49.2034737644380,-25.4844592157371
82920090,-49.2065936315104,-25.4493406843058
80540140,-49.2605236422368,-25.4021061827475
81570010,-49.2379956248079,-25.4740384750357
81250210,-49.3473682666473,-25.4756844576971
81330400,-49.3264242140685,-25.4881248758430
81450350,-49.3480470001620,-25.4902280000456
80230090,-49.2723309760101,-25.4390390483783
81935317,-49.2659726298718,-25.5574814410697
82620150,-49.2203917399179,-25.3843628304926
80510325,-49.2790781765687,-25.4198156998607
81590576,-49.2012669496276,-25.4942162501529
81490398,-49.3358913045797,-25.5963908362783
81050411,-49.3058640000000,-25.4829820000000
81550490,-49.2054049266086,-25.4924960602498
81770140,-49.2459991910781,-25.5277922333666
80820310,-49.2906611455039,-25.4086845373433
82210230,-49.2634891111916,-25.3823373333611
82300430,-49.3463656911546,-25.4211195918941
81590578,-49.2000059999854,-25.4926040000053
81870310,-49.2902101689820,-25.5241504441850
81925578,-49.2679261249150,-25.5519935625411
81560480,-49.2131369999224,-25.4932949091003
81910160,-49.2694617027723,-25.5307591916020
81570092,-49.2394309559741,-25.4773377148100
81590568,-49.1981543961654,-25.4865484092882
81350712,-49.3371847691929,-25.4960801542241
80410000,-49.2875646174355,-25.4213661621413
81910550,-49.2590953391986,-25.5343119298378
82840140,-49.2092009936114,-25.4035558681452
80010200,-49.2748090324017,-25.4499691308346
80045265,-49.2482430000000,-25.4303760000000
81570360,-49.2299521315212,-25.4857325221308
81260430,-49.3605952475877,-25.4650355019742
82960200,-49.2107938551622,-25.4685863337660
82025060,-49.3098019002186,-25.4094383254911
82520095,-49.2400308757049,-25.4146626252933
80320140,-49.2945374826290,-25.4645330930821
81550150,-49.2126543845983,-25.4770778208763
82100440,-49.2932765649519,-25.3942804783177
80330250,-49.3077515647853,-25.4685255880972
81230395,-49.3406628326480,-25.4630444265055
82220470,-49.2736981005731,-25.3569461500704
81710300,-49.2608604414495,-25.4995227903921
82320230,-49.3423791541151,-25.4021230003188
80740620,-49.3156172471767,-25.4417320478243
81230560,-49.3467354210512,-25.4618345263762
81470340,-49.3362378687666,-25.5784518706724
82820300,-49.2017098689937,-25.4107437445588
81480170,-49.3185828888561,-25.5633003333374
82960518,-49.1984884999811,-25.4654572500437
81280125,-49.3601132684004,-25.4406127564945
81130270,-49.3009496047833,-25.5076616583274
82130470,-49.2754817420857,-25.3763584193723
81830300,-49.2642839884632,-25.5229877082695
81490370,-49.3348460297419,-25.5945839118607
81560730,-49.2242420001757,-25.4769830000570
81550240,-49.2110857497498,-25.4774264375435
81070310,-49.3079769301493,-25.4777156282764
81305650,-49.3233459999556,-25.5010554166774
81460140,-49.3064697407443,-25.5504730020315
81510040,-49.2465827083158,-25.4602953492636
81610090,-49.2413676273212,-25.4829752828427
81350607,-49.3366327775834,-25.5098119631631
81550315,-49.2083150086110,-25.4881320075695
81480216,-49.3274865425991,-25.5592031642591
82630290,-49.2091730004846,-25.3718662802350
82940170,-49.2228321157173,-25.4546318120000
80030430,-49.2550561883948,-25.4146322176159
82810220,-49.2176039050576,-25.4362783812433
81710590,-49.2606525653797,-25.5021303917908
81580179,-49.2235692856984,-25.4968867857253
82520040,-49.2301156541579,-25.4135495000170
81750280,-49.2444025714353,-25.5127671393955
82220133,-49.2639595000711,-25.3760098333463
82020770,-49.3165390673192,-25.4035799002893
81720360,-49.2525244997371,-25.5259885359266
82320460,-49.3507954592113,-25.4077602271442
80740199,-49.3130473847111,-25.4437465384921
82800310,-49.2266446131255,-25.4363060856137
82820460,-49.2222826851176,-25.4179465264684
80320110,-49.2942522954363,-25.4631702181385
80520550,-49.2770964271839,-25.4036217716140
80820480,-49.3017935380524,-25.4089459015341
80215542,-49.2503976846901,-25.4467561755521
80810020,-49.2959062863188,-25.4179269867733
81935437,-49.2495865835216,-25.5569929167696
81450310,-49.3482807107009,-25.4928927891057
81940200,-49.3005594977692,-25.5579957528383
82960488,-49.2106499391430,-25.4654066369594
82710330,-49.2583428932106,-25.3530998572423
82720240,-49.2309054649185,-25.3649974344476
81330550,-49.3238567202730,-25.4845347422664
81265330,-49.3713250851996,-25.4702238422545
82115020,-49.2858709374701,-25.3852616256441
81850680,-49.2429311617330,-25.5432081643500
80530210,-49.2667140000000,-25.4159280000000
82640640,-49.2403618225252,-25.3715918782937
80045340,-49.2452352041218,-25.4273942123959
82650060,-49.2427622031910,-25.3808622827653
81910030,-49.2685374132639,-25.5361378385276
82410316,-49.3284397499770,-25.3849215000131
82320340,-49.3477109219031,-25.3991999410430
81150330,-49.3046045806688,-25.5222469145844
81490620,-49.3349370738516,-25.6132684714507
81200390,-49.3440640772759,-25.4331374954389
81470055,-49.3383968771216,-25.5630048148415
81330220,-49.3355483883407,-25.4843712333489
81312000,-49.3152229520216,-25.5030856483401
81935050,-49.2544885303963,-25.5555084122770
81480152,-49.3207049341475,-25.5584308697738
80210200,-49.2447534999719,-25.4425802500035
81650050,-49.2359919665457,-25.4935107881037
82950220,-49.2173702690989,-25.4538040386831
81110522,-49.2915096538449,-25.5094403220237
80035210,-49.2501065029327,-25.4018593540355
82400000,-49.3355962353140,-25.4008242454259
82520590,-49.2261971905551,-25.4131761050287
81490562,-49.3302336035246,-25.6007006282316
81650080,-49.2377486322425,-25.4844139677447
81270220,-49.3531713829059,-25.4591060306723
80250085,-49.2805507832172,-25.4428916686675
81560250,-49.2181798796427,-25.4891353622078
82015110,-49.3250852303798,-25.4160406938864
81870352,-49.2937684998992,-25.5241770000303
82220610,-49.2682819283134,-25.3725747859642
81550430,-49.2062870102600,-25.4903390577391
81260210,-49.3503911011160,-25.4862514891775
82900480,-49.2173394258684,-25.4457890186590
